comparison_id,semantic_class,external_dataset,feature,internal_rows,external_rows,internal_mean,internal_median,internal_p10,internal_p25,internal_p75,internal_p90,external_mean,external_median,external_p10,external_p25,external_p75,external_p90,ks_statistic,ks_p_value,mean_difference_external_minus_internal,median_difference_external_minus_internal,is_binary_feature,internal_proportion_1,external_proportion_1,absolute_percentage_point_difference_1
C_phiusiil_phishing_vs_url_phish_phishing,phishing,URL-Phish,number_of_question_marks,100945,16600,0.06879984149784536,0.0,0.0,0.0,0.0,0.0,0.14897590361445784,0.0,0.0,0.0,0.0,1.0,0.08487787695434768,8.452813150792893e-90,0.08017606211661248,0.0,False,,,
C_phiusiil_phishing_vs_url_phish_phishing,phishing,URL-Phish,letter_ratio,100945,16600,0.7472414032986082,0.7755102040816326,0.6126612903225812,0.7142857142857143,0.8125,0.8378378378378378,0.7418114542795958,0.7666666666666667,0.6206896551724138,0.7,0.8,0.8333333333333334,0.08165791403764544,3.8766391998053e-83,-0.005429949019012392,-0.008843537414965907,False,,,
C_phiusiil_phishing_vs_url_phish_phishing,phishing,URL-Phish,number_of_ampersands,100945,16600,0.08437267819109416,0.0,0.0,0.0,0.0,0.0,0.2394578313253012,0.0,0.0,0.0,0.0,1.0,0.07455368753233749,2.341959708737565e-69,0.15508515313420707,0.0,False,,,
C_phiusiil_phishing_vs_url_phish_phishing,phishing,URL-Phish,known_shortener_domain,100945,16600,0.005349447719054931,0.0,0.0,0.0,0.0,0.0,0.06608433734939759,0.0,0.0,0.0,0.0,0.0,0.06073488963034279,3.720305008751506e-46,0.06073488963034265,0.0,True,0.005349447719054931,0.06608433734939759,6.073488963034265
C_phiusiil_phishing_vs_url_phish_phishing,phishing,URL-Phish,number_of_underscores,100945,16600,0.08163851602357719,0.0,0.0,0.0,0.0,0.0,0.21993975903614457,0.0,0.0,0.0,0.0,0.0,0.05347061831953115,7.250508544699225e-36,0.13830124301256738,0.0,False,,,
C_phiusiil_phishing_vs_url_phish_phishing,phishing,URL-Phish,suspicious_keyword_count,100945,16600,0.0967952845608995,0.0,0.0,0.0,0.0,0.0,0.08313253012048193,0.0,0.0,0.0,0.0,0.0,0.009663603644355923,0.13858909668448527,-0.013662754440417577,0.0,False,,,
C_phiusiil_phishing_vs_url_phish_phishing,phishing,URL-Phish,has_suspicious_keyword,100945,16600,0.0690574074991332,0.0,0.0,0.0,0.0,0.0,0.07512048192771084,0.0,0.0,0.0,0.0,0.0,0.006063074428577786,0.6687888168990954,0.006063074428577647,0.0,True,0.0690574074991332,0.07512048192771084,0.6063074428577647
C_phiusiil_phishing_vs_url_phish_phishing,phishing,URL-Phish,domain_is_ip,100945,16600,0.0060230818762692555,0.0,0.0,0.0,0.0,0.0,0.0004216867469879518,0.0,0.0,0.0,0.0,0.0,0.005601395129281261,0.7601159067554173,-0.005601395129281304,0.0,True,0.0060230818762692555,0.0004216867469879518,0.5601395129281304
C_phiusiil_phishing_vs_url_phish_phishing,phishing,URL-Phish,number_of_at_symbols,100945,16600,0.017108326316310863,0.0,0.0,0.0,0.0,0.0,0.011024096385542168,0.0,0.0,0.0,0.0,0.0,0.00432651205147494,0.9512778241902938,-0.006084229930768695,0.0,False,,,
C_phiusiil_phishing_vs_url_phish_phishing,phishing,URL-Phish,number_of_percent_symbols,100945,16600,0.05852692060032691,0.0,0.0,0.0,0.0,0.0,0.2960843373493976,0.0,0.0,0.0,0.0,0.0,0.0039238801757131014,0.9800249985078845,0.2375574167490707,0.0,False,,,
C_phiusiil_phishing_vs_url_phish_phishing,phishing,URL-Phish,has_port,100945,16600,0.00025756600128783,0.0,0.0,0.0,0.0,0.0,0.0009638554216867469,0.0,0.0,0.0,0.0,0.0,0.0007062894203989645,1.0,0.000706289420398917,0.0,True,0.00025756600128783,0.0009638554216867469,0.0706289420398917
